OcutimeStamp,UnityTimeStamp,leftPor.x,leftPor.y,rightPor.x,rightPor.y,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,torsoPosition.x,torsoPosition.y,torsoPosition.z,torsoRotation.x,torsoRotation.y,torsoRotation.z,torsoRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,valL,valR
20613597463,63709683437789,0.5285195,0.4968868,0.4603481,0.495762,0.5436864,1.544403,0.4350785,0.21776,0.9678923,0.02524109,0.1229959,1.773798,1.105193,1.628135,0,0,0,1,-0.5421684,-1.537264,-0.4730283,-0.001697694,-0.9893805,-0.1453387,-0.03120303,0.006742233,-0.03744443,0.03423903,0.00753476,-0.03845517,0.002639771,-0.01173401,0.9999237,-0.03166199,-0.0171814,0.9993439,True,True
20613605724,63709683437802,0.5282143,0.4974051,0.4629346,0.4984265,0.5436077,1.54454,0.4346511,0.2172361,0.9679922,0.02491219,0.1232032,1.773798,1.105193,1.628135,0,0,0,1,-0.5420881,-1.537433,-0.4724974,-0.001882984,-0.9894343,-0.1449697,-0.03120541,0.0067435,-0.03744678,0.03424448,0.007469254,-0.03824573,0.001831055,-0.01020813,0.999939,-0.02482605,-0.009353638,0.9996338,True,True
20613613986,63709683437811,0.5279321,0.4979336,0.4627786,0.4976166,0.5436295,1.544557,0.4347696,0.2172492,0.9680142,0.02523662,0.1229404,1.773798,1.105193,1.628135,0,0,0,1,-0.5421076,-1.537453,-0.4726047,-0.0016328,-0.9894321,-0.1449881,-0.03120303,0.006742233,-0.03744443,0.03424696,0.007465881,-0.03822574,0.001083374,-0.008651733,0.9999542,-0.02523804,-0.01173401,0.9996033,True,True
20613622277,63709683437813,0.5277421,0.4983793,0.4626341,0.4966769,0.5435802,1.544599,0.4342898,0.216777,0.9681057,0.0248117,0.1231401,1.773798,1.105193,1.628135,0,0,0,1,-0.5420565,-1.537494,-0.472115,-0.001905652,-0.9894826,-0.1446393,-0.03120203,0.006740967,-0.03744206,0.03424945,0.007467712,-0.03820819,0.000579834,-0.007339478,0.9999695,-0.02561951,-0.01449585,0.9995575,True,True
20613630669,63709683437813,0.5279379,0.4985503,0.4626571,0.4966924,0.5435802,1.544599,0.4342898,0.216777,0.9681057,0.0248117,0.1231401,1.773798,1.105193,1.628135,0,0,0,1,-0.5420561,-1.537495,-0.4721172,-0.001903923,-0.9894826,-0.1446395,-0.03120334,0.006739319,-0.03743716,0.03425159,0.007468475,-0.03821753,0.001098633,-0.006835938,0.9999695,-0.02555847,-0.01445007,0.9995575,True,True
20613734108,63709683437932,0.5279494,0.4987212,0.4626975,0.4965107,0.5432009,1.544987,0.4307425,0.2135587,0.9685634,0.02743255,0.1245996,1.773798,1.105193,1.628135,0,0,0,1,-0.5416763,-1.537884,-0.4685666,-9.966455E-05,-0.9897419,-0.1428668,-0.03120465,0.006737671,-0.03743226,0.03425372,0.007469254,-0.038216,0.00112915,-0.006332397,0.9999695,-0.02545166,-0.01498413,0.9995575,True,True
20613734271,63709683437932,0.5279321,0.4991721,0.4631763,0.4964382,0.5432009,1.544987,0.4307425,0.2135587,0.9685634,0.02743255,0.1245996,1.773798,1.105193,1.628135,0,0,0,1,-0.5416756,-1.537897,-0.4685133,-9.601041E-05,-0.9897419,-0.1428672,-0.03120503,0.006707978,-0.03732248,0.03425555,0.007472687,-0.03821921,0.001083374,-0.005004883,0.9999847,-0.02418518,-0.01519775,0.999588,True,True
20613734461,63709683437932,0.5278975,0.4992394,0.4632745,0.4966874,0.5432009,1.544987,0.4307425,0.2135587,0.9685634,0.02743255,0.1245996,1.773798,1.105193,1.628135,0,0,0,1,-0.5416749,-1.537913,-0.4684568,-9.550813E-05,-0.9897417,-0.1428676,-0.03120541,0.006678299,-0.03721268,0.0342574,0.007469757,-0.038216,0.0009918213,-0.004806519,0.9999847,-0.02392578,-0.01446533,0.9996033,True,True
20613734612,63709683437932,0.5279379,0.4991617,0.4633552,0.4967445,0.5432009,1.544987,0.4307425,0.2135587,0.9685634,0.02743255,0.1245996,1.773798,1.105193,1.628135,0,0,0,1,-0.5416744,-1.537912,-0.4684623,-9.454911E-05,-0.9897419,-0.1428675,-0.03120586,0.006677597,-0.03722047,0.03425876,0.007472107,-0.03821921,0.001098633,-0.0050354,0.9999847,-0.02371216,-0.01429749,0.9996033,True,True
20613734726,63709683437932,0.5279955,0.4995762,0.4632226,0.4967237,0.5432009,1.544987,0.4307425,0.2135587,0.9685634,0.02743255,0.1245996,1.773798,1.105193,1.628135,0,0,0,1,-0.541674,-1.537911,-0.468465,-9.514347E-05,-0.9897417,-0.142868,-0.0312063,0.006678299,-0.03722829,0.03426012,0.007473816,-0.03821684,0.001251221,-0.003814697,0.9999847,-0.02406311,-0.01435852,0.9996033,True,True
