OcutimeStamp,UnityTimeStamp,leftPor.x,leftPor.y,rightPor.x,rightPor.y,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,torsoPosition.x,torsoPosition.y,torsoPosition.z,torsoRotation.x,torsoRotation.y,torsoRotation.z,torsoRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,valL,valR
19861628208,63709682685818,0.5541729,0.5294605,0.4877097,0.5402575,0.4413872,1.556072,0.3308081,0.01894904,0.9937075,-0.06438526,0.08967179,1.773798,1.105193,1.628135,0,0,0,1,-0.4398826,-1.54839,-0.3695725,-0.04411278,-0.9990219,-0.003036546,-0.03132599,0.007016678,-0.03843359,0.03433524,0.008348236,-0.0390953,0.07020569,0.0836792,0.9940033,0.04046631,0.1128387,0.9927826,True,True
19861636221,63709682685831,0.5549731,0.5262553,0.4849624,0.5407342,0.4413103,1.555386,0.3302198,0.01907105,0.9936552,-0.06804416,0.08749663,1.773798,1.105193,1.628135,0,0,0,1,-0.439813,-1.547575,-0.3694027,-0.0465044,-0.9989136,-0.00299663,-0.03132802,0.007113403,-0.03873805,0.03432253,0.008508271,-0.03962776,0.07235718,0.07434082,0.9945984,0.0332489,0.1142426,0.9928894,True,True
19861644597,63709682685842,0.5626668,0.5246723,0.4917059,0.5306686,0.4410855,1.554653,0.3296045,0.01917731,0.9935864,-0.0716641,0.08533778,1.773798,1.105193,1.628135,0,0,0,1,-0.439541,-1.54657,-0.3697486,-0.04873298,-0.9988074,-0.002959825,-0.03126135,0.007368271,-0.03960869,0.03435042,0.008797318,-0.04067957,0.09251404,0.0696106,0.9932709,0.05108643,0.08503723,0.9950562,True,True
19861652715,63709682685842,0.5645031,0.511939,0.4896764,0.4969487,0.4410855,1.554653,0.3296045,0.01917731,0.9935864,-0.0716641,0.08533778,1.773798,1.105193,1.628135,0,0,0,1,-0.4394858,-1.545806,-0.3723164,-0.04871401,-0.9988084,-0.002941257,-0.03113223,0.008088425,-0.04206418,0.03433177,0.009604858,-0.04335954,0.0974884,0.03240967,0.9947052,0.0459137,-0.01368713,0.9988403,True,True
19861660990,63709682685853,0.5788104,0.5121029,0.4481412,0.4240433,0.4409919,1.553931,0.3291577,0.01935906,0.9935067,-0.07550452,0.08287822,1.773798,1.105193,1.628135,0,0,0,1,-0.4393078,-1.545255,-0.3711568,-0.05136266,-0.9986756,-0.002984929,-0.0310406,0.00822287,-0.04236894,0.03440872,0.009129029,-0.04162917,0.134613,0.03274536,0.9903412,-0.06227112,-0.2219543,0.973053,True,True
19861668082,63709682685864,0.5611627,0.5195156,NaN,NaN,0.4408374,1.553124,0.3285867,0.01975507,0.9933669,-0.07973662,0.08046157,1.773798,1.105193,1.628135,0,0,0,1,NaN,NaN,NaN,-0.05434373,-0.9984821,-0.008963732,-0.03098224,0.008269714,-0.04233084,NaN,NaN,NaN,0.08866882,0.05459595,0.9945526,NaN,NaN,NaN,True,False
19861676328,63709682685874,0.5945345,0.4090618,NaN,NaN,0.4407516,1.553027,0.3285335,0.01992278,0.9933599,-0.08016893,0.08007556,1.773798,1.105193,1.628135,0,0,0,1,NaN,NaN,NaN,-0.05462297,-0.9984658,-0.009072819,-0.03100104,0.007326462,-0.03940802,NaN,NaN,NaN,0.1689758,-0.2572632,0.9514465,NaN,NaN,NaN,True,False
19861684353,63709682685876,0.6044652,0.4379967,NaN,NaN,0.4406228,1.552265,0.3279828,0.02013572,0.9932197,-0.08392413,0.07788511,1.773798,1.105193,1.628135,0,0,0,1,NaN,NaN,NaN,-0.05703563,-0.9983304,-0.009131723,-0.03027937,0.007378525,-0.04595368,NaN,NaN,NaN,0.1965942,-0.1785278,0.9640808,NaN,NaN,NaN,True,False
19861693133,63709682685887,0.5650671,0.4304576,NaN,NaN,0.4404925,1.551356,0.3273824,0.02058784,0.9930168,-0.08868054,0.0750307,1.773798,1.105193,1.628135,0,0,0,1,NaN,NaN,NaN,-0.06008493,-0.9981495,-0.009349651,-0.03096727,0.007219315,-0.03997189,NaN,NaN,NaN,0.0969696,-0.2021027,0.9745483,NaN,NaN,NaN,True,False
19861701404,63709682685898,0.5610502,0.4276509,NaN,NaN,0.4402723,1.550398,0.3268489,0.02111135,0.9927642,-0.09352141,0.07230043,1.773798,1.105193,1.628135,0,0,0,1,NaN,NaN,NaN,-0.06318644,-0.9979553,-0.009622868,-0.03098808,0.006830475,-0.03901572,NaN,NaN,NaN,0.08653259,-0.2100067,0.9738464,NaN,NaN,NaN,True,False
19861709968,63709682685908,0.5758359,0.4362565,NaN,NaN,0.4402283,1.550258,0.3267727,0.02124644,0.9927061,-0.09435907,0.07196966,1.773798,1.105193,1.628135,0,0,0,1,NaN,NaN,NaN,-0.06373111,-0.99792,-0.009693614,-0.0309492,0.00693016,-0.03989558,NaN,NaN,NaN,0.1248016,-0.1854858,0.9746857,NaN,NaN,NaN,True,False
19861718986,63709682685910,0.5800992,0.4369041,0.4606433,0.4076332,0.4400806,1.549375,0.3261843,0.02161952,0.9924495,-0.09876845,0.06943594,1.773798,1.105193,1.628135,0,0,0,1,-0.4387638,-1.536547,-0.3869089,-0.06614514,-0.997801,-0.004251379,-0.03094539,0.006809982,-0.03989072,0.03357884,0.01884631,-0.08155849,0.1356659,-0.1834259,0.9736176,-0.0297699,-0.2662659,0.9634247,True,True
19861727825,63709682685920,0.5768049,0.4427932,0.48474,0.4362289,0.4398558,1.548324,0.3254787,0.02189575,0.9921628,-0.103414,0.06662741,1.773798,1.105193,1.628135,0,0,0,1,-0.4385633,-1.53556,-0.3862838,-0.06893717,-0.9976115,-0.00437594,-0.03092625,0.00653923,-0.03928943,0.03351129,0.0189884,-0.08232076,0.1276855,-0.1672211,0.9776001,0.0322876,-0.1887207,0.9814911,True,True
