OcutimeStamp,UnityTimeStamp,leftPor.x,leftPor.y,rightPor.x,rightPor.y,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,torsoPosition.x,torsoPosition.y,torsoPosition.z,torsoRotation.x,torsoRotation.y,torsoRotation.z,torsoRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,valL,valR
20329839462,63709683154031,0.6224953,0.5285835,0.553727,0.5197145,0.1767106,1.551836,0.4237255,0.0971332,0.09080413,0.01022234,0.9910678,1.773798,1.105193,1.628135,0,0,0,1,-0.1745284,-1.544517,-0.4628885,-0.7095919,-0.6998481,-0.0818048,-0.03038445,0.006718506,-0.03841638,0.0347487,0.007920715,-0.03990956,0.2433472,0.07888794,0.9667206,0.2103729,0.05198669,0.9762268,True,True
20329847912,63709683154042,0.653967,0.5271084,0.5794056,0.5176405,0.1774751,1.552609,0.4230311,0.09417727,0.0968794,0.01058025,0.990774,1.773798,1.105193,1.628135,0,0,0,1,-0.1749074,-1.545133,-0.4629113,-0.671829,-0.7356271,-0.08659397,-0.02994164,0.006732086,-0.03858997,0.03507684,0.008220047,-0.04117049,0.3169098,0.07305908,0.9456329,0.2724457,0.0453186,0.9610901,True,True
20329855936,63709683154052,0.6877158,0.5316474,0.6093567,0.5183209,0.1778132,1.552547,0.4229919,0.09454899,0.09837953,0.01035743,0.9905931,1.773798,1.105193,1.628135,0,0,0,1,-0.1748907,-1.544995,-0.4632345,-0.6653258,-0.7414318,-0.08729535,-0.02954228,0.006975861,-0.03950575,0.03538731,0.00812883,-0.04097934,0.3894501,0.08312988,0.9172821,0.3406525,0.04615784,0.9390411,True,True
20329864252,63709683154054,0.7120892,0.5264792,0.6400576,0.5165493,0.1783912,1.553377,0.4224101,0.09131936,0.1032764,0.01081648,0.9903927,1.773798,1.105193,1.628135,0,0,0,1,-0.1751902,-1.545891,-0.4626955,-0.6304941,-0.7707098,-0.09210638,-0.02922115,0.006994812,-0.03980155,0.0356232,0.007976593,-0.04076924,0.4384003,0.06758118,0.896225,0.4055023,0.04013062,0.913208,True,True
20329872646,63709683154065,0.7375418,0.5224626,0.649731,0.5087097,0.1792368,1.55406,0.421717,0.08872607,0.109687,0.01138055,0.9899328,1.773798,1.105193,1.628135,0,0,0,1,-0.1758604,-1.546565,-0.4622242,-0.5931942,-0.799207,-0.096896,-0.02903488,0.006893463,-0.0396704,0.03578768,0.008095246,-0.04134407,0.4855957,0.0554657,0.872406,0.4250183,0.01890564,0.9049683,True,True
20329880990,63709683154076,0.727043,0.5200345,0.6467129,0.5071614,0.1802436,1.554687,0.4210609,0.08644283,0.1161464,0.01172089,0.9893939,1.773798,1.105193,1.628135,0,0,0,1,-0.176876,-1.547234,-0.4614463,-0.560367,-0.8224046,-0.09818134,-0.0290741,0.006817474,-0.03950612,0.03580919,0.008088196,-0.0412646,0.4668732,0.04981995,0.8829041,0.4190979,0.01483154,0.9078064,True,True
20329889077,63709683154085,0.7427377,0.5268972,0.6386924,0.5073952,0.1804553,1.55464,0.4211431,0.08690765,0.1169725,0.01174264,0.9892556,1.773798,1.105193,1.628135,0,0,0,1,-0.1772118,-1.547654,-0.4599205,-0.5596324,-0.8228263,-0.09883633,-0.02929092,0.006065842,-0.03700139,0.03577786,0.007906692,-0.04055344,0.4943542,0.06642151,0.8666992,0.4030151,0.01557922,0.9150543,True,True
20329897536,63709683154088,0.7219312,0.5154444,0.638404,0.5059535,0.1812478,1.555367,0.4205689,0.08418736,0.1227283,0.01217686,0.9887882,1.773798,1.105193,1.628135,0,0,0,1,-0.1780297,-1.548022,-0.4605709,-0.5280845,-0.8433056,-0.09981176,-0.02928813,0.006816147,-0.03958551,0.03572426,0.00787201,-0.04041844,0.4576874,0.03811646,0.8882904,0.4024506,0.01170349,0.9153595,True,True
20329905897,63709683154099,0.7147993,0.5128015,0.6369994,0.5038925,0.1821462,1.55598,0.4200554,0.08192714,0.1286505,0.01239495,0.9882224,1.773798,1.105193,1.628135,0,0,0,1,-0.1790116,-1.548759,-0.4596964,-0.4990331,-0.8608342,-0.09965192,-0.02938634,0.00667189,-0.0391955,0.03565543,0.007770706,-0.0400864,0.4443665,0.03144836,0.8952789,0.3996124,0.006164551,0.9166565,True,True
20329914111,63709683154110,0.7143821,0.5127904,0.6296707,0.5057262,0.1828296,1.556321,0.4194536,0.07987184,0.1342263,0.01262891,0.9876459,1.773798,1.105193,1.628135,0,0,0,1,-0.1797639,-1.549195,-0.4588113,-0.4730784,-0.875381,-0.09952381,-0.02947511,0.006480713,-0.0386438,0.03560666,0.007771347,-0.0400716,0.443573,0.03143311,0.8956757,0.384491,0.01118469,0.9230499,True,True
