oculoTS,unityTS,currFrame,LeftPosX,LeftPosY,RightPosX,RightPosY,cam_pitch,cam_yaw,cam_roll,sphere_yaw,meanGazeDir.x,meanGazeDir.y,meanGazeDir.z,leftBasePt.x,leftBasePt.y,leftBasePt.z,rightBasePt.x,rightBasePt.y,rightBasePt.z,leftGazeDir.x,leftGazeDir.y,leftGazeDir.z,rightGazeDir.x,rightGazeDir.y,rightGazeDir.z,binPor.x,binPor.y,Lval,Rval
966117905936,63690312829813,502,918.8351,523.8857,961.108,524.6522,1.486058,106.718,358.8015,12.94973,-0.1655775,0.1809236,0.969459,-0.03029156,0.003044826,-0.03336757,0.03168806,0.004098284,-0.03365717,-0.1675268,0.174441,0.9703119,-0.1544185,0.1742176,0.9725241,939.9715,524.2689True,True
966121908780,63690312829813,0,918.8972,523.9479,961.2765,524.6761,1.486058,106.718,358.8015,12.94973,-0.1654479,0.180828,0.9694989,-0.03030367,0.003030879,-0.0333079,0.03170013,0.004103808,-0.03370542,-0.1663904,0.1752947,0.9703535,-0.1574791,0.1734158,0.9721766,940.0869,524.3121True,True
966125936712,63690312829813,0,918.8586,524.1147,961.2638,524.5925,1.486058,106.718,358.8015,12.94973,-0.1654803,0.1807311,0.9695114,-0.03030093,0.003043708,-0.03327863,0.03170241,0.004090364,-0.03369958,-0.1678094,0.1740492,0.9703334,-0.157884,0.1753183,0.9717696,940.0612,524.3536True,True
966129907910,63690312829813,0,918.899,524.2191,961.0815,524.612,1.486058,106.718,358.8015,12.94973,-0.1655664,0.1805855,0.969524,-0.03029998,0.003031735,-0.03330909,0.03171455,0.004105665,-0.03368347,-0.1669088,0.1746712,0.970377,-0.1593114,0.1730169,0.9719491,939.9903,524.4155True,True
966133918737,63690312829813,0,918.9791,524.2501,960.9431,524.6194,1.486058,106.718,358.8015,12.94973,-0.1656014,0.1805401,0.9695265,-0.03032232,0.003043891,-0.03366568,0.03171056,0.004099285,-0.03363588,-0.1662379,0.1750388,0.9704259,-0.1591448,0.1730918,0.971963,939.9611,524.4347True,True
966137892785,63690312829813,0,919.0142,524.2958,960.9999,524.6261,1.486058,106.718,358.8015,12.94973,-0.1655503,0.180481,0.9695461,-0.03032351,0.003059624,-0.0337547,0.03170376,0.004093371,-0.03368618,-0.1668466,0.17403,0.9705029,-0.1575694,0.1742556,0.9720117,940.0071,524.4609True,True
966141914731,63690312829813,0,918.9762,524.3714,960.6006,524.4671,1.486058,106.718,358.8015,12.94973,-0.1657989,0.1805697,0.9694871,-0.03030848,0.00302544,-0.0333416,0.03172394,0.00408736,-0.03377327,-0.1677132,0.1741814,0.9703263,-0.1618466,0.176828,0.9708437,939.7884,524.4193True,True
966145907026,63690312829851,0,919.0645,524.4822,960.7114,524.5013,1.486768,106.7307,358.792,16.72149,-0.1656896,0.1804058,0.9695363,-0.03030395,0.003015469,-0.03342105,0.03170666,0.004084257,-0.03364412,-0.1668474,0.1749422,0.9703387,-0.1597035,0.1754317,0.9714518,939.8879,524.4917True,True
966149940091,63690312829851,0,919.0377,524.4936,960.7003,524.4793,1.486768,106.7307,358.792,16.72149,-0.1657109,0.1804172,0.9695305,-0.03029521,0.003007912,-0.03332691,0.03170572,0.004085151,-0.03371133,-0.1674571,0.1750686,0.9702109,-0.1581437,0.1749258,0.9717981,939.869,524.4865True,True
966153956335,63690312829851,0,919.1011,524.4501,960.5521,524.4591,1.486768,106.7307,358.792,16.72149,-0.1657574,0.1804894,0.9695092,-0.0303231,0.003013948,-0.03355833,0.03171498,0.004091299,-0.03364994,-0.1666496,0.1762116,0.970143,-0.1601069,0.1738156,0.9716758,939.8266,524.4546True,True
966157940077,63690312829862,0,919.1091,524.3953,960.3592,524.4553,1.498829,106.7713,358.7991,16.72149,-0.1658617,0.1805538,0.9694794,-0.03029535,0.003004262,-0.03346228,0.03171328,0.004099333,-0.03366699,-0.1674823,0.1760178,0.9700348,-0.1598484,0.1733833,0.9717956,939.7341,524.4253True,True
966161972286,63690312829862,0,918.6898,524.282,959.916,524.3866,1.498829,106.7713,358.7991,16.72149,-0.166351,0.1807487,0.9693592,-0.03027687,0.003001634,-0.03348304,0.03171623,0.004083351,-0.03372685,-0.1720065,0.1769799,0.9690675,-0.160432,0.1756628,0.9712899,939.3029,524.3344True,True
966165948046,63690312829870,0,918.5226,524.3116,959.7946,524.3438,1.495219,106.7834,358.8064,16.72149,-0.1665164,0.1807589,0.9693289,-0.03029655,0.003023325,-0.03334084,0.03170445,0.004081722,-0.03364318,-0.1686543,0.1744424,0.9701163,-0.1592293,0.1746086,0.9716778,939.1586,524.3277True,True
966169952315,63690312829870,0,918.3393,524.2386,959.64,524.3271,1.495219,106.7834,358.8064,16.72149,-0.1667073,0.1808564,0.9692778,-0.0302889,0.003007203,-0.03340601,0.03171649,0.004083314,-0.03376427,-0.1696665,0.1758507,0.9696854,-0.1599441,0.1754529,0.9714084,938.9897,524.2829True,True
966173985665,63690312829882,0,918.1963,524.2078,959.6855,524.2787,1.485249,106.7826,358.8061,16.72149,-0.1667606,0.1809463,0.9692519,-0.03030583,0.003013147,-0.03331638,0.03170423,0.004087858,-0.03371814,-0.1686693,0.1754204,0.9699373,-0.1588061,0.1744938,0.9717677,938.9409,524.2432True,True
966177924646,63690312829882,0,918.0319,524.2026,959.4261,524.0825,1.485249,106.7826,358.8061,16.72149,-0.1669968,0.1811712,0.9691691,-0.03032817,0.003030777,-0.03355303,0.03171875,0.004068883,-0.03367748,-0.1684297,0.1751245,0.9700324,-0.1619928,0.1779165,0.9706205,938.729,524.1426True,True
